t,v
0.058086,0.000264
0.058149,0.000281
0.058210,0.000334
0.058274,0.000325
0.058335,0.000396
0.058398,0.000361
0.058460,0.000352
0.058522,0.000361
0.058586,0.000317
0.058648,0.000369
0.058712,0.000299
0.058774,0.000255
0.058836,0.000255
0.058900,0.000176
0.058963,0.000202
0.059025,0.000123
0.059086,0.000053
0.059150,0.000018
0.059213,-0.000070
0.059276,-0.000062
0.059340,-0.000141
0.059403,-0.000220
0.059467,-0.000281
0.059530,-0.000396
0.059593,-0.000369
0.059657,-0.000440
0.059720,-0.000519
0.059784,-0.000572
0.059848,-0.000669
0.059910,-0.000660
0.059973,-0.000695
0.060036,-0.000765
0.060101,-0.000792
0.060163,-0.000871
0.060225,-0.000844
0.060289,-0.000853
0.060350,-0.000897
0.060414,-0.000888
0.060476,-0.000941
0.060538,-0.000897
0.060601,-0.000888
0.060662,-0.000880
0.060726,-0.000827
0.060788,-0.000871
0.060851,-0.000818
0.060913,-0.000765
0.060975,-0.000730
0.061039,-0.000677
0.061101,-0.000677
0.061164,-0.000625
0.061226,-0.000554
0.061288,-0.000528
0.061352,-0.000413
0.061415,-0.000431
0.061477,-0.000369
0.061539,-0.000317
0.061601,-0.000281
0.061663,-0.000185
0.061726,-0.000194
0.061788,-0.000150
0.061850,-0.000088
0.061914,-0.000097
0.061977,0.000000
0.062038,-0.000035
0.062100,-0.000009
0.062162,0.000018
0.062226,0.000018
0.062289,0.000097
0.062351,0.000062
0.062413,0.000053
0.062475,0.000062
0.062540,0.000044
0.062602,0.000106
0.062664,0.000053
0.062727,0.000035
0.062788,0.000053
0.062852,0.000000
0.062913,0.000044
0.062975,0.000009
0.063038,-0.000009
0.063100,-0.000009
0.063164,-0.000070
0.063226,0.000000
0.063290,-0.000026
0.063352,-0.000053
0.063415,-0.000026
0.063477,-0.000070
0.063539,0.000000
0.063602,-0.000018
0.063664,-0.000026
0.063727,-0.000009
0.063788,-0.000053
0.063851,0.000018
0.063913,0.000044
0.063975,0.000035
0.064039,0.000070
0.064101,0.000035
0.064164,0.000088
0.064226,0.000114
0.064288,0.000106
0.064352,0.000158
0.064415,0.000123
0.064476,0.000158
0.064537,0.000194
0.064599,0.000194
0.064663,0.000237
0.064726,0.000185
0.064788,0.000229
0.064850,0.000255
0.064912,0.000220
0.064977,0.000264
0.065039,0.000220
0.065101,0.000220
0.065164,0.000237
0.065225,0.000229
0.065288,0.000281
0.065349,0.000194
0.065411,0.000185
0.065474,0.000202
0.065538,0.000176
0.065600,0.000202
0.065662,0.000114
0.065726,0.000106
0.065787,0.000114
0.065852,0.000070
0.065914,0.000106
0.065976,0.000026
0.066039,0.000018
0.066100,0.000000
0.066164,-0.000035
0.066225,0.000009
0.066288,-0.000044
0.066350,-0.000088
